Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 16:01:50,22-08-2025 16:03:31,1m - 40.907s,FAILED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 16:01:50,22-08-2025 16:01:53,3.124s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:57,3.715s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:53,0.007s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:53,0.000s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:53,0.000s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:53,0.001s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 16:01:53,22-08-2025 16:01:54,0.002s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 16:01:54,22-08-2025 16:01:55,1.160s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:01:55,22-08-2025 16:01:57,2.014s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 16:01:57,22-08-2025 16:01:57,0.411s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:01:57,22-08-2025 16:01:57,0.002s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:01:57,22-08-2025 16:02:03,6.062s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:01:57,22-08-2025 16:01:57,0.002s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 16:01:57,22-08-2025 16:01:58,0.544s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 16:01:58,22-08-2025 16:01:58,0.260s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 16:01:58,22-08-2025 16:02:01,3.507s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:01,22-08-2025 16:02:01,0.003s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 16:02:01,22-08-2025 16:02:03,1.465s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:03,0.229s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:03,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:03,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/03.검색 리스트 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:11,7.653s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:03,0.001s,PASSED
if (isSuite),Chrome 139.0.7258.138,,,22-08-2025 16:02:03,22-08-2025 16:02:05,1.749s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""Solo leveling"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:05,22-08-2025 16:02:06,0.912s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 16:02:06,22-08-2025 16:02:06,0.440s,PASSED
"searchlist = findTestObject(""Prod환경/Home/02.검색/03.Solo Leveling 타이틀"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:06,22-08-2025 16:02:06,0.002s,PASSED
HighlightElement.run(searchlist),Chrome 139.0.7258.138,,,22-08-2025 16:02:06,22-08-2025 16:02:09,2.721s,PASSED
"verifyElementPresent(searchlist, 0)",Chrome 139.0.7258.138,,,22-08-2025 16:02:09,22-08-2025 16:02:10,0.636s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 16:02:10,22-08-2025 16:02:11,1.149s,PASSED
"comment(""✅ 완료"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:11,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:11,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/03.배너확인/04.라인배너 확인,Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:22,11.520s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:11,0.003s,PASSED
"comment(""✅ 라인배너 실행"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:11,0.002s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:02:11,22-08-2025 16:02:13,2.006s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/라인배너/00. Free 서브탭""))",Chrome 139.0.7258.138,,,22-08-2025 16:02:13,22-08-2025 16:02:13,0.275s,PASSED
"linebanner = findTestObject(""Prod환경/Home/04.배너/라인배너/01.라인배너"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:13,22-08-2025 16:02:13,0.007s,PASSED
HighlightElement.run(linebanner),Chrome 139.0.7258.138,,,22-08-2025 16:02:13,22-08-2025 16:02:15,2.056s,PASSED
"verifyElementPresent(linebanner, 0)",Chrome 139.0.7258.138,,,22-08-2025 16:02:15,22-08-2025 16:02:15,0.222s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/라인배너/01.라인배너""))",Chrome 139.0.7258.138,,,22-08-2025 16:02:15,22-08-2025 16:02:17,1.630s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:02:17,22-08-2025 16:02:19,2.006s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 16:02:19,22-08-2025 16:02:20,0.986s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:02:20,22-08-2025 16:02:22,2.007s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/01.메인홈/숏컷/Tapas 버튼""))",Chrome 139.0.7258.138,,,22-08-2025 16:02:22,22-08-2025 16:02:22,0.257s,PASSED
"comment(""✅ 라인배너 완"")",Chrome 139.0.7258.138,,,22-08-2025 16:02:22,22-08-2025 16:02:22,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:02:22,22-08-2025 16:02:22,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/03.배너확인/05.빅배너 확인_랜딩 후 복귀,Chrome 139.0.7258.138,,,22-08-2025 16:02:22,22-08-2025 16:02:44,21.676s,PASSED
