Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 16:07:12,22-08-2025 16:08:40,1m - 27.815s,FAILED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 16:07:12,22-08-2025 16:07:15,2.836s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:19,3.993s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:15,0.010s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:15,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:15,0.000s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:15,0.001s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:15,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 16:07:15,22-08-2025 16:07:17,1.440s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:07:17,22-08-2025 16:07:19,2.014s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 16:07:19,22-08-2025 16:07:19,0.406s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:07:19,22-08-2025 16:07:19,0.002s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:07:19,22-08-2025 16:07:25,5.415s,PASSED
