Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 15:56:50,22-08-2025 15:57:55,1m - 4.928s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 15:56:50,22-08-2025 15:56:53,2.709s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:56,3.680s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:53,0.006s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:53,0.000s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:53,0.001s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:53,0.000s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:53,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 15:56:53,22-08-2025 15:56:54,1.119s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 15:56:54,22-08-2025 15:56:56,2.014s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 15:56:56,22-08-2025 15:56:56,0.420s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 15:56:56,22-08-2025 15:56:56,0.004s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 15:56:56,22-08-2025 15:57:01,4.949s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 15:56:56,22-08-2025 15:56:56,0.001s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 15:56:56,22-08-2025 15:56:57,0.536s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 15:56:57,22-08-2025 15:56:59,2.144s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 15:56:59,22-08-2025 15:57:00,0.740s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 15:57:00,22-08-2025 15:57:00,0.003s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 15:57:00,22-08-2025 15:57:01,1.258s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 15:57:01,22-08-2025 15:57:01,0.224s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 15:57:01,22-08-2025 15:57:01,0.001s,PASSED
