Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Comic 홈,Chrome 132.0.6834.160,,,11-02-2025 13:41:00,11-02-2025 13:42:56,1m - 55.494s,PASSED
,,,,,,,
Test Cases/서브탭 확인/New 서브탭 - 로그인 경우 추가필요,Chrome 132.0.6834.160,,,11-02-2025 13:41:00,11-02-2025 13:41:13,13.017s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,11-02-2025 13:41:01,11-02-2025 13:41:03,1.965s,PASSED
"navigateToUrl(""https://qa.tapas.io/"")",Chrome 132.0.6834.160,,,11-02-2025 13:41:03,11-02-2025 13:41:04,1.457s,PASSED
"click(findTestObject(""Object Repository/서브탭/New 서브탭/Page_Home  Spotlight/div_Publish_absolute left-0 top-0 size-full_9e46ba""))",Chrome 132.0.6834.160,,,11-02-2025 13:41:04,11-02-2025 13:41:06,1.784s,PASSED
"click(findTestObject(""Object Repository/서브탭/New 서브탭/Page_Home  New/a_Novels""))",Chrome 132.0.6834.160,,,11-02-2025 13:41:06,11-02-2025 13:41:07,0.822s,PASSED
"NewNovel = findTestObject(""서브탭/New 서브탭/Page_Home  New/h2_No results were found"")",Chrome 132.0.6834.160,,,11-02-2025 13:41:07,11-02-2025 13:41:07,0.013s,PASSED
"TodayNovel = findTestObject(""서브탭/New 서브탭/Page_Home  New/p_Today"")",Chrome 132.0.6834.160,,,11-02-2025 13:41:07,11-02-2025 13:41:07,0.006s,PASSED
"isNewNovelPresent = verifyElementPresent(NewNovel, 3, OPTIONAL)",Chrome 132.0.6834.160,,,11-02-2025 13:41:07,11-02-2025 13:41:11,4.241s,PASSED
"isTodayNovelPresent = verifyElementPresent(TodayNovel, 3, OPTIONAL)",Chrome 132.0.6834.160,,,11-02-2025 13:41:11,11-02-2025 13:41:11,0.238s,PASSED
if (isNewNovelPresent),Chrome 132.0.6834.160,,,11-02-2025 13:41:11,11-02-2025 13:41:11,0.001s,PASSED
else if (isTodayNovelPresent),Chrome 132.0.6834.160,,,11-02-2025 13:41:11,11-02-2025 13:41:13,2.344s,PASSED
"comment(""✅ New 서브탭 실행"")",Chrome 132.0.6834.160,,,11-02-2025 13:41:13,11-02-2025 13:41:13,0.014s,PASSED
,,,,,,,
Test Cases/서브탭 확인/Popular 서브탭,Chrome 132.0.6834.160,,,11-02-2025 13:41:13,11-02-2025 13:41:46,32.897s,PASSED
