Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 12:19:18,22-08-2025 12:20:17,59.213s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 12:19:18,22-08-2025 12:19:22,3.356s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:25,3.543s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:22,0.006s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:22,0.000s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:22,0.001s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:22,0.001s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:22,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 12:19:22,22-08-2025 12:19:23,1.010s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 12:19:23,22-08-2025 12:19:25,2.013s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 12:19:25,22-08-2025 12:19:25,0.405s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:25,22-08-2025 12:19:25,0.003s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 12:19:25,22-08-2025 12:19:31,5.859s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:25,22-08-2025 12:19:25,0.002s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:25,22-08-2025 12:19:26,0.538s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 12:19:26,22-08-2025 12:19:29,3.045s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 12:19:29,22-08-2025 12:19:29,0.429s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:29,22-08-2025 12:19:29,0.003s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 12:19:29,22-08-2025 12:19:31,1.572s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:31,0.234s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:31,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:31,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/03.검색 리스트 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:39,7.633s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:31,0.001s,PASSED
if (isSuite),Chrome 139.0.7258.138,,,22-08-2025 12:19:31,22-08-2025 12:19:33,1.801s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""Solo leveling"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:33,22-08-2025 12:19:34,1.123s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 12:19:34,22-08-2025 12:19:34,0.241s,PASSED
"searchlist = findTestObject(""Prod환경/Home/02.검색/03.Solo Leveling 타이틀"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:34,22-08-2025 12:19:34,0.002s,PASSED
HighlightElement.run(searchlist),Chrome 139.0.7258.138,,,22-08-2025 12:19:34,22-08-2025 12:19:37,2.687s,PASSED
"verifyElementPresent(searchlist, 0)",Chrome 139.0.7258.138,,,22-08-2025 12:19:37,22-08-2025 12:19:38,0.640s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 12:19:38,22-08-2025 12:19:39,1.095s,PASSED
"comment(""✅ 완료"")",Chrome 139.0.7258.138,,,22-08-2025 12:19:39,22-08-2025 12:19:39,0.003s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 12:19:39,22-08-2025 12:19:39,0.002s,PASSED
,,,,,,,
