Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
검색 동작,Chrome 132.0.6834.160,,,05-02-2025 11:22:54,05-02-2025 11:23:13,19.386s,PASSED
,,,,,,,
Test Cases/검색 동작/검색 리스트 확인,Chrome 132.0.6834.160,,,05-02-2025 11:22:54,05-02-2025 11:23:04,10.248s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,05-02-2025 11:22:54,05-02-2025 11:22:56,2.195s,PASSED
"navigateToUrl(""https://tapas.io/"")",Chrome 132.0.6834.160,,,05-02-2025 11:22:56,05-02-2025 11:22:58,1.867s,PASSED
"setText(findTestObject(""Object Repository/검색 리스트 확인/Page_Home  Spotlight/input_More_q""), ""the"")",Chrome 132.0.6834.160,,,05-02-2025 11:22:58,05-02-2025 11:23:00,2.343s,PASSED
"click(findTestObject(""Object Repository/검색 리스트 확인/Page_Home  Spotlight/img_More_absolute right-2 top-24 -translate-y-24""))",Chrome 132.0.6834.160,,,05-02-2025 11:23:00,05-02-2025 11:23:02,2.258s,PASSED
"setText(findTestObject(""Object Repository/검색 리스트 확인/Page_Search  Tapas/input_search results_q""), ""`the"")",Chrome 132.0.6834.160,,,05-02-2025 11:23:02,05-02-2025 11:23:04,1.338s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,05-02-2025 11:23:04,05-02-2025 11:23:04,0.152s,PASSED
,,,,,,,
Test Cases/검색 동작/검색 결과 없음 확인,Chrome 132.0.6834.160,,,05-02-2025 11:23:04,05-02-2025 11:23:13,9.061s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,05-02-2025 11:23:04,05-02-2025 11:23:05,1.245s,PASSED
"navigateToUrl(""https://tapas.io/"")",Chrome 132.0.6834.160,,,05-02-2025 11:23:05,05-02-2025 11:23:07,1.872s,PASSED
"setText(findTestObject(""Object Repository/검색 결과 없음/Page_Home  Spotlight/input_More_q""), ""비비비비비비비비비비"")",Chrome 132.0.6834.160,,,05-02-2025 11:23:07,05-02-2025 11:23:10,2.853s,PASSED
"click(findTestObject(""Object Repository/검색 결과 없음/Page_Home  Spotlight/img_More_absolute right-2 top-24 -translate-y-24""))",Chrome 132.0.6834.160,,,05-02-2025 11:23:10,05-02-2025 11:23:12,2.498s,PASSED
"verifyElementPresent(findTestObject(""검색 결과 없음 문구 확인/Page_Search  Tapas/p_No results for""), 0)",Chrome 132.0.6834.160,,,05-02-2025 11:23:12,05-02-2025 11:23:13,0.437s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,05-02-2025 11:23:13,05-02-2025 11:23:13,0.129s,PASSED
