Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 11:27:02,22-08-2025 11:28:05,1m - 2.990s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 11:27:02,22-08-2025 11:27:07,4.858s,ERROR
,,,,,,,
Test Cases/SetSuiteFlag,Chrome 139.0.7258.138,,,22-08-2025 11:27:07,22-08-2025 11:27:09,2.320s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:07,22-08-2025 11:27:09,2.279s,ERROR
isSuite = true,Chrome 139.0.7258.138,,,22-08-2025 11:27:09,22-08-2025 11:27:09,0.004s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:09,22-08-2025 11:27:09,0.004s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:13,3.867s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:10,0.003s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:10,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:10,0.000s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:10,0.001s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:10,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 11:27:10,22-08-2025 11:27:11,1.280s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 11:27:11,22-08-2025 11:27:13,2.013s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 11:27:13,22-08-2025 11:27:13,0.418s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:13,22-08-2025 11:27:13,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 11:27:13,22-08-2025 11:27:20,6.827s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:13,22-08-2025 11:27:13,0.003s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:13,22-08-2025 11:27:14,0.557s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:14,22-08-2025 11:27:14,0.261s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:14,22-08-2025 11:27:18,4.032s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:18,22-08-2025 11:27:18,0.002s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 11:27:18,22-08-2025 11:27:20,1.676s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:20,0.230s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:20,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:20,0.000s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/03.검색 리스트 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:28,7.866s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:20,0.000s,PASSED
if (isSuite),Chrome 139.0.7258.138,,,22-08-2025 11:27:20,22-08-2025 11:27:22,2.075s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""Solo leveling"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:22,22-08-2025 11:27:23,1.110s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:23,22-08-2025 11:27:24,0.238s,PASSED
"searchlist = findTestObject(""Prod환경/Home/02.검색/03.Solo Leveling 타이틀"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:24,22-08-2025 11:27:24,0.005s,PASSED
HighlightElement.run(searchlist),Chrome 139.0.7258.138,,,22-08-2025 11:27:24,22-08-2025 11:27:26,2.706s,PASSED
"verifyElementPresent(searchlist, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:26,22-08-2025 11:27:27,0.630s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 11:27:27,22-08-2025 11:27:28,1.063s,PASSED
"comment(""✅ 완료"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:28,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:28,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/03.배너확인/04.라인배너 확인,Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:39,10.609s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:28,0.002s,PASSED
"comment(""✅ 라인배너 실행"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:28,0.002s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 11:27:28,22-08-2025 11:27:30,2.009s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/라인배너/00. Free 서브탭""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:30,22-08-2025 11:27:30,0.253s,PASSED
"linebanner = findTestObject(""Prod환경/Home/04.배너/라인배너/01.라인배너"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:30,22-08-2025 11:27:30,0.004s,PASSED
HighlightElement.run(linebanner),Chrome 139.0.7258.138,,,22-08-2025 11:27:30,22-08-2025 11:27:32,1.971s,PASSED
"verifyElementPresent(linebanner, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:32,22-08-2025 11:27:33,0.229s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/라인배너/01.라인배너""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:33,22-08-2025 11:27:34,1.092s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 11:27:34,22-08-2025 11:27:36,2.009s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 11:27:36,22-08-2025 11:27:37,0.968s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 11:27:37,22-08-2025 11:27:39,2.009s,PASSED
"comment(""✅ 라인배너 완"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:27:39,0.003s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:27:39,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/03.배너확인/05.빅배너 확인_랜딩 후 복귀,Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:28:05,26.488s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:27:39,0.001s,PASSED
"next = findTestObject(""Prod환경/Home/04.배너/빅배너/01.빅배너 다음 버튼"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:27:39,0.002s,PASSED
HighlightElement.run(next),Chrome 139.0.7258.138,,,22-08-2025 11:27:39,22-08-2025 11:27:40,1.234s,PASSED
"verifyElementPresent(next, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:40,22-08-2025 11:27:40,0.231s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/빅배너/01.빅배너 다음 버튼""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:40,22-08-2025 11:27:40,0.268s,PASSED
"prev = findTestObject(""Prod환경/Home/04.배너/빅배너/02.빅배너 이전 버튼"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:40,22-08-2025 11:27:40,0.003s,PASSED
HighlightElement.run(prev),Chrome 139.0.7258.138,,,22-08-2025 11:27:40,22-08-2025 11:27:42,1.336s,PASSED
"verifyElementPresent(prev, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:42,22-08-2025 11:27:42,0.232s,PASSED
"click(findTestObject(""Prod환경/Home/04.배너/빅배너/02.빅배너 이전 버튼""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:42,22-08-2025 11:27:42,0.260s,PASSED
delay(10),Chrome 139.0.7258.138,,,22-08-2025 11:27:42,22-08-2025 11:27:52,10.009s,PASSED
"page2 = findTestObject(""Prod환경/Home/04.배너/빅배너/03.2페이지"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:52,22-08-2025 11:27:52,0.007s,PASSED
HighlightElement.run(page2),Chrome 139.0.7258.138,,,22-08-2025 11:27:52,22-08-2025 11:27:54,1.257s,PASSED
"verifyElementPresent(page2, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:54,22-08-2025 11:27:54,0.233s,PASSED
"prev1 = findTestObject(""Prod환경/Home/04.배너/빅배너/02.빅배너 이전 버튼"")",Chrome 139.0.7258.138,,,22-08-2025 11:27:54,22-08-2025 11:27:54,0.002s,PASSED
HighlightElement.run(prev1),Chrome 139.0.7258.138,,,22-08-2025 11:27:54,22-08-2025 11:27:55,1.248s,PASSED
"verifyElementPresent(prev1, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:27:55,22-08-2025 11:27:55,0.232s,PASSED
"click(findTestObject(""Prod환경/Home/04.배너/빅배너/02.빅배너 이전 버튼""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:55,22-08-2025 11:27:56,0.263s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/04.배너/빅배너/04.빅배너이미지""))",Chrome 139.0.7258.138,,,22-08-2025 11:27:56,22-08-2025 11:28:00,4.471s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 11:28:00,22-08-2025 11:28:02,2.006s,PASSED
back(),Chrome 139.0.7258.138,,,22-08-2025 11:28:02,22-08-2025 11:28:03,0.913s,PASSED
"bancheck = findTestObject(""Prod환경/Home/04.배너/빅배너/04.빅배너이미지"")",Chrome 139.0.7258.138,,,22-08-2025 11:28:03,22-08-2025 11:28:03,0.005s,PASSED
HighlightElement.run(bancheck),Chrome 139.0.7258.138,,,22-08-2025 11:28:03,22-08-2025 11:28:05,1.872s,PASSED
"verifyElementPresent(bancheck, 0)",Chrome 139.0.7258.138,,,22-08-2025 11:28:05,22-08-2025 11:28:05,0.234s,PASSED
closeBrowser(),Chrome 139.0.7258.138,,,22-08-2025 11:28:05,22-08-2025 11:28:05,0.126s,PASSED
"comment(""✅ 빅배너 완료"")",Chrome 139.0.7258.138,,,22-08-2025 11:28:05,22-08-2025 11:28:05,0.001s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 11:28:05,22-08-2025 11:28:05,0.001s,PASSED
,,,,,,,
Start listener action : afterSuite,Chrome 139.0.7258.138,,,22-08-2025 11:28:05,22-08-2025 11:28:05,0.002s,PASSED
