Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 16:24:16,22-08-2025 16:26:35,2m - 19.325s,FAILED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 16:24:16,22-08-2025 16:24:19,3.094s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:24,4.645s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:19,0.008s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:19,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:19,0.001s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:19,0.002s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:19,0.002s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 16:24:19,22-08-2025 16:24:21,2.072s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 16:24:21,22-08-2025 16:24:23,2.017s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 16:24:23,22-08-2025 16:24:24,0.414s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:24:24,22-08-2025 16:24:24,0.003s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:24:24,22-08-2025 16:24:30,6.281s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:24:24,22-08-2025 16:24:24,0.001s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 16:24:24,22-08-2025 16:24:24,0.560s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 16:24:24,22-08-2025 16:24:28,3.773s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 16:24:28,22-08-2025 16:24:29,0.426s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 16:24:29,22-08-2025 16:24:29,0.003s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 16:24:29,22-08-2025 16:24:30,1.248s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:30,0.225s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:30,0.003s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:30,0.001s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/03.검색 리스트 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:38,7.606s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:30,0.001s,PASSED
if (isSuite),Chrome 139.0.7258.138,,,22-08-2025 16:24:30,22-08-2025 16:24:32,1.712s,PASSED
