Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 17:10:25,22-08-2025 17:12:42,2m - 16.624s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 17:10:25,22-08-2025 17:10:28,3.031s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 17:10:28,22-08-2025 17:10:32,3.826s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:10:28,22-08-2025 17:10:28,0.005s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 17:10:29,22-08-2025 17:10:29,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 17:10:29,22-08-2025 17:10:29,0.001s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 17:10:29,22-08-2025 17:10:29,0.000s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 17:10:29,22-08-2025 17:10:29,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 17:10:29,22-08-2025 17:10:30,1.259s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 17:10:30,22-08-2025 17:10:32,2.014s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 17:10:32,22-08-2025 17:10:32,0.412s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:10:32,22-08-2025 17:10:32,0.003s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 17:10:32,22-08-2025 17:10:38,5.951s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:10:32,22-08-2025 17:10:32,0.001s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 17:10:32,22-08-2025 17:10:33,0.561s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 17:10:33,22-08-2025 17:10:36,3.455s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 17:10:36,22-08-2025 17:10:37,0.422s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 17:10:37,22-08-2025 17:10:37,0.003s,PASSED
HighlightElement.run(nolist),Chrome 139.0.7258.138,,,22-08-2025 17:10:37,22-08-2025 17:10:38,1.249s,PASSED
"verifyElementPresent(nolist, 0)",Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:38,0.222s,PASSED
"comment(""✅ 검색 완료"")",Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:38,0.002s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:38,0.002s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/03.검색 리스트 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:46,7.568s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:38,0.001s,PASSED
if (isSuite),Chrome 139.0.7258.138,,,22-08-2025 17:10:38,22-08-2025 17:10:40,1.753s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""Solo leveling"")",Chrome 139.0.7258.138,,,22-08-2025 17:10:40,22-08-2025 17:10:41,1.025s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 17:10:41,22-08-2025 17:10:43,1.706s,PASSED
