Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1,Chrome 139.0.7258.138,,,22-08-2025 17:03:08,22-08-2025 17:04:20,1m - 12.389s,ERROR
,,,,,,,
Start listener action : beforeSuite,Chrome 139.0.7258.138,,,22-08-2025 17:03:08,22-08-2025 17:03:11,3.047s,ERROR
,,,,,,,
Test Cases/Prod환경/00.메인홈/01.로그인/01.자동 로그인 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:15,4.183s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:11,0.005s,PASSED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:11,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:11,0.000s,PASSED
driver = getWebDriver(),Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:11,0.002s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:11,0.001s,PASSED
if (cookieFile.exists()),Chrome 139.0.7258.138,,,22-08-2025 17:03:11,22-08-2025 17:03:13,1.605s,PASSED
delay(2),Chrome 139.0.7258.138,,,22-08-2025 17:03:13,22-08-2025 17:03:15,2.025s,PASSED
maximizeWindow(),Chrome 139.0.7258.138,,,22-08-2025 17:03:15,22-08-2025 17:03:15,0.414s,PASSED
Start listener action : afterTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:03:15,22-08-2025 17:03:15,0.003s,PASSED
,,,,,,,
Test Cases/Prod환경/00.메인홈/02.검색/02.검색 결과 없음 확인 - Copy,Chrome 139.0.7258.138,,,22-08-2025 17:03:15,22-08-2025 17:03:21,5.753s,PASSED
Start listener action : beforeTestCase,Chrome 139.0.7258.138,,,22-08-2025 17:03:15,22-08-2025 17:03:15,0.001s,PASSED
"setText(findTestObject(""Object Repository/Prod환경/Home/02.검색/00.검색란""), ""비비비비비비비비비비"")",Chrome 139.0.7258.138,,,22-08-2025 17:03:15,22-08-2025 17:03:16,0.718s,PASSED
"click(findTestObject(""Object Repository/Prod환경/Home/02.검색/01.검색버튼""))",Chrome 139.0.7258.138,,,22-08-2025 17:03:16,22-08-2025 17:03:19,3.083s,PASSED
"verifyElementPresent(findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음""), 0)",Chrome 139.0.7258.138,,,22-08-2025 17:03:19,22-08-2025 17:03:20,0.436s,PASSED
"nolist = findTestObject(""Prod환경/Home/02.검색/04.검색결과 문구 없음"")",Chrome 139.0.7258.138,,,22-08-2025 17:03:20,22-08-2025 17:03:20,0.003s,PASSED
